name,adm1__id
"An Giang","1"
"Bạc Liêu","2"
"Bắc Giang","3"
"Bắc Kạn","4"
"Bắc Ninh","5"
"Bến Tre","6"
"Bà Rịa - Vũng Tàu","7"
"Bình Định","8"
"Bình Dương","9"
"Bình Phước","10"
"Bình Thuận","11"
"Cần Thơ","12"
"Cà Mau","13"
"Cao Bằng","14"
"Đắk Lắk","15"
"Đắk Nông","16"
"Đồng Nai","17"
"Đồng Tháp","18"
"Đà Nẵng","19"
"Điện Biên","20"
"Gia Lai","21"
"Hải Dương","22"
"Hải Phòng","23"
"Hậu Giang","24"
"Hồ Chí Minh","25"
"Hà Giang","26"
"Hà Nội","27"
"Hà Nam","28"
"Hà Tĩnh","29"
"Hoà Bình","30"
"Hưng Yên","31"
"Khánh Hòa","32"
"Kiên Giang","33"
"Kon Tum","34"
"Lạng Sơn","35"
"Lai Châu","36"
"Lâm Đồng","37"
"Lào Cai","38"
"Long An","39"
"Nam Định","40"
"Nghệ An","41"
"Ninh Bình","42"
"Ninh Thuận","43"
"Phú Thọ","44"
"Phú Yên","45"
"Quảng Bình","46"
"Quảng Nam","47"
"Quảng Ngãi","48"
"Quảng Ninh","49"
"Quảng Trị","50"
"Sóc Trăng","51"
"Sơn La","52"
"Tây Ninh","53"
"Thừa Thiên Huế","54"
"Thái Bình","55"
"Thái Nguyên","56"
"Thanh Hóa","57"
"Tiền Giang","58"
"Trà Vinh","59"
"Tuyên Quang","60"
"Vĩnh Long","61"
"Vĩnh Phúc","62"
"Yên Bái","63"