"iso","alert__year","alert__week","alert__count","confidence__cat"
"VNM",2012,1,2,"h"
"VNM",2012,3,25,"h"
"VNM",2012,4,37,"h"
"VNM",2012,5,19,"h"
"VNM",2012,6,208,"h"
"VNM",2012,7,42,"h"
"VNM",2012,8,166,"h"
"VNM",2012,9,215,"h"
"VNM",2012,10,167,"h"
"VNM",2012,11,125,"h"
"VNM",2012,12,192,"h"
"VNM",2012,13,63,"h"
"VNM",2012,14,184,"h"
"VNM",2012,15,330,"h"
"VNM",2012,16,198,"h"
"VNM",2012,17,51,"h"
"VNM",2012,18,174,"h"
"VNM",2012,19,47,"h"
"VNM",2012,20,26,"h"
"VNM",2012,23,1,"h"
"VNM",2012,24,11,"h"
"VNM",2012,25,8,"h"
"VNM",2012,26,9,"h"
"VNM",2012,28,46,"h"
"VNM",2012,29,12,"h"
"VNM",2012,31,4,"h"
"VNM",2012,32,13,"h"
"VNM",2012,33,8,"h"
"VNM",2012,34,5,"h"
"VNM",2012,35,7,"h"
"VNM",2012,37,8,"h"
"VNM",2012,38,7,"h"
"VNM",2012,39,2,"h"
"VNM",2012,40,4,"h"
"VNM",2012,41,7,"h"
"VNM",2012,42,9,"h"
"VNM",2012,43,9,"h"
"VNM",2012,44,4,"h"
"VNM",2012,45,6,"h"
"VNM",2012,47,2,"h"
"VNM",2012,48,15,"h"
"VNM",2012,49,2,"h"
"VNM",2012,50,31,"h"
"VNM",2012,51,34,"h"
"VNM",2012,52,32,"h"
"VNM",2013,1,28,"h"
"VNM",2013,2,42,"h"
"VNM",2013,3,30,"h"
"VNM",2013,4,79,"h"
"VNM",2013,5,48,"h"
"VNM",2013,6,68,"h"
"VNM",2013,7,67,"h"
"VNM",2013,8,201,"h"
"VNM",2013,9,263,"h"
"VNM",2013,10,272,"h"
"VNM",2013,11,420,"h"
"VNM",2013,12,461,"h"
"VNM",2013,13,169,"h"
"VNM",2013,14,178,"h"
"VNM",2013,15,116,"h"
"VNM",2013,16,65,"h"
"VNM",2013,17,48,"h"
"VNM",2013,18,31,"h"
"VNM",2013,19,7,"h"
"VNM",2013,20,138,"h"
"VNM",2013,21,64,"h"
"VNM",2013,22,37,"h"
"VNM",2013,23,3,"h"
"VNM",2013,24,13,"h"
"VNM",2013,25,7,"h"
"VNM",2013,26,68,"h"
"VNM",2013,27,2,"h"
"VNM",2013,28,3,"h"
"VNM",2013,29,1,"h"
"VNM",2013,30,1,"h"
"VNM",2013,31,1,"h"
"VNM",2013,33,8,"h"
"VNM",2013,34,47,"h"
"VNM",2013,35,6,"h"
"VNM",2013,36,6,"h"
"VNM",2013,37,2,"h"
"VNM",2013,38,6,"h"
"VNM",2013,40,5,"h"
"VNM",2013,41,24,"h"
"VNM",2013,42,1,"h"
"VNM",2013,44,18,"h"
"VNM",2013,45,5,"h"
"VNM",2013,46,6,"h"
"VNM",2013,47,5,"h"
"VNM",2013,49,37,"h"
"VNM",2013,50,5,"h"
"VNM",2013,51,4,"h"
"VNM",2013,52,33,"h"
"VNM",2014,1,24,"h"
"VNM",2014,2,38,"h"
"VNM",2014,3,32,"h"
"VNM",2014,4,148,"h"
"VNM",2014,5,89,"h"
"VNM",2014,6,282,"h"
"VNM",2014,7,75,"h"
"VNM",2014,8,180,"h"
"VNM",2014,9,287,"h"
"VNM",2014,10,376,"h"
"VNM",2014,11,394,"h"
"VNM",2014,12,287,"h"
"VNM",2014,13,343,"h"
"VNM",2014,14,432,"h"
"VNM",2014,15,183,"h"
"VNM",2014,16,246,"h"
"VNM",2014,17,118,"h"
"VNM",2014,18,2,"h"
"VNM",2014,19,15,"h"
"VNM",2014,20,94,"h"
"VNM",2014,21,56,"h"
"VNM",2014,22,10,"h"
"VNM",2014,23,14,"h"
"VNM",2014,25,20,"h"
"VNM",2014,26,1,"h"
"VNM",2014,27,17,"h"
"VNM",2014,28,3,"h"
"VNM",2014,31,8,"h"
"VNM",2014,32,7,"h"
"VNM",2014,33,27,"h"
"VNM",2014,34,16,"h"
"VNM",2014,36,1,"h"
"VNM",2014,37,11,"h"
"VNM",2014,38,9,"h"
"VNM",2014,39,10,"h"
"VNM",2014,40,11,"h"
"VNM",2014,41,7,"h"
"VNM",2014,42,7,"h"
"VNM",2014,43,4,"h"
"VNM",2014,44,8,"h"
"VNM",2014,46,4,"h"
"VNM",2014,48,20,"h"
"VNM",2014,51,16,"h"
"VNM",2014,52,8,"h"
"VNM",2015,1,16,"h"
"VNM",2015,2,7,"h"
"VNM",2015,3,94,"h"
"VNM",2015,4,81,"h"
"VNM",2015,5,83,"h"
"VNM",2015,6,37,"h"
"VNM",2015,7,82,"h"
"VNM",2015,8,29,"h"
"VNM",2015,9,345,"h"
"VNM",2015,10,382,"h"
"VNM",2015,11,166,"h"
"VNM",2015,12,649,"h"
"VNM",2015,13,159,"h"
"VNM",2015,14,434,"h"
"VNM",2015,15,148,"h"
"VNM",2015,16,413,"h"
"VNM",2015,17,165,"h"
"VNM",2015,18,84,"h"
"VNM",2015,19,162,"h"
"VNM",2015,20,47,"h"
"VNM",2015,21,10,"h"
"VNM",2015,22,38,"h"
"VNM",2015,23,29,"h"
"VNM",2015,24,20,"h"
"VNM",2015,25,24,"h"
"VNM",2015,26,51,"h"
"VNM",2015,27,43,"h"
"VNM",2015,28,8,"h"
"VNM",2015,29,2,"h"
"VNM",2015,30,14,"h"
"VNM",2015,31,1,"h"
"VNM",2015,32,11,"h"
"VNM",2015,33,24,"h"
"VNM",2015,34,76,"h"
"VNM",2015,35,22,"h"
"VNM",2015,36,37,"h"
"VNM",2015,37,2,"h"
"VNM",2015,38,2,"h"
"VNM",2015,39,67,"h"
"VNM",2015,40,9,"h"
"VNM",2015,41,3,"h"
"VNM",2015,42,10,"h"
"VNM",2015,43,10,"h"
"VNM",2015,44,11,"h"
"VNM",2015,45,4,"h"
"VNM",2015,46,1,"h"
"VNM",2015,47,15,"h"
"VNM",2015,48,4,"h"
"VNM",2015,49,6,"h"
"VNM",2015,50,11,"h"
"VNM",2015,51,11,"h"
"VNM",2015,52,15,"h"
"VNM",2015,53,5,"h"
"VNM",2016,1,31,"h"
"VNM",2016,2,16,"h"
"VNM",2016,3,84,"h"
"VNM",2016,4,34,"h"
"VNM",2016,5,84,"h"
"VNM",2016,6,207,"h"
"VNM",2016,7,72,"h"
"VNM",2016,8,162,"h"
"VNM",2016,9,216,"h"
"VNM",2016,10,265,"h"
"VNM",2016,11,491,"h"
"VNM",2016,12,236,"h"
"VNM",2016,13,248,"h"
"VNM",2016,14,215,"h"
"VNM",2016,15,657,"h"
"VNM",2016,16,136,"h"
"VNM",2016,17,84,"h"
"VNM",2016,18,265,"h"
"VNM",2016,19,29,"h"
"VNM",2016,20,11,"h"
"VNM",2016,21,2,"h"
"VNM",2016,22,194,"h"
"VNM",2016,23,5,"h"
"VNM",2016,24,110,"h"
"VNM",2016,25,7,"h"
"VNM",2016,26,2,"h"
"VNM",2016,27,2,"h"
"VNM",2016,28,9,"h"
"VNM",2016,29,6,"h"
"VNM",2016,30,10,"h"
"VNM",2016,31,16,"h"
"VNM",2016,32,8,"h"
"VNM",2016,33,1,"h"
"VNM",2016,34,20,"h"
"VNM",2016,35,2,"h"
"VNM",2016,37,1,"h"
"VNM",2016,38,1,"h"
"VNM",2016,39,3,"h"
"VNM",2016,40,1,"h"
"VNM",2016,41,1,"h"
"VNM",2016,42,14,"h"
"VNM",2016,44,4,"h"
"VNM",2016,46,17,"h"
"VNM",2016,47,27,"h"
"VNM",2016,48,9,"h"
"VNM",2016,49,18,"h"
"VNM",2016,50,14,"h"
"VNM",2016,51,8,"h"
"VNM",2016,52,25,"h"
"VNM",2016,53,14,"h"
"VNM",2017,1,6,"h"
"VNM",2017,2,1,"h"
"VNM",2017,3,5,"h"
"VNM",2017,4,15,"h"
"VNM",2017,5,9,"h"
"VNM",2017,6,40,"h"
"VNM",2017,7,81,"h"
"VNM",2017,8,33,"h"
"VNM",2017,9,77,"h"
"VNM",2017,10,86,"h"
"VNM",2017,11,77,"h"
"VNM",2017,12,126,"h"
"VNM",2017,13,18,"h"
"VNM",2017,14,201,"h"
"VNM",2017,15,59,"h"
"VNM",2017,16,103,"h"
"VNM",2017,17,18,"h"
"VNM",2017,18,58,"h"
"VNM",2017,19,6,"h"
"VNM",2017,20,2,"h"
"VNM",2017,21,23,"h"
"VNM",2017,22,10,"h"
"VNM",2017,23,26,"h"
"VNM",2017,24,5,"h"
"VNM",2017,25,5,"h"
"VNM",2017,26,2,"h"
"VNM",2017,27,3,"h"
"VNM",2017,30,6,"h"
"VNM",2017,31,1,"h"
"VNM",2017,32,13,"h"
"VNM",2017,33,6,"h"
"VNM",2017,34,3,"h"
"VNM",2017,35,9,"h"
"VNM",2017,36,18,"h"
"VNM",2017,37,15,"h"
"VNM",2017,38,2,"h"
"VNM",2017,39,3,"h"
"VNM",2017,40,5,"h"
"VNM",2017,43,3,"h"
"VNM",2017,44,11,"h"
"VNM",2017,46,10,"h"
"VNM",2017,49,5,"h"
"VNM",2017,50,1,"h"
"VNM",2017,51,35,"h"
"VNM",2017,52,6,"h"
"VNM",2018,1,4,"h"
"VNM",2018,2,8,"h"
"VNM",2018,3,15,"h"
"VNM",2018,4,10,"h"
"VNM",2018,5,49,"h"
"VNM",2018,6,85,"h"
"VNM",2018,7,65,"h"
"VNM",2018,8,70,"h"
"VNM",2018,9,81,"h"
"VNM",2018,10,288,"h"
"VNM",2018,11,36,"h"
"VNM",2018,12,102,"h"
"VNM",2018,13,147,"h"
"VNM",2018,14,64,"h"
"VNM",2018,15,200,"h"
"VNM",2018,16,70,"h"
"VNM",2018,17,66,"h"
"VNM",2018,18,18,"h"
"VNM",2018,19,70,"h"
"VNM",2018,20,58,"h"
"VNM",2018,21,14,"h"
"VNM",2018,22,9,"h"
"VNM",2018,23,4,"h"
"VNM",2018,25,6,"h"
"VNM",2018,26,13,"h"
"VNM",2018,27,4,"h"
"VNM",2018,28,1,"h"
"VNM",2018,30,1,"h"
"VNM",2018,31,9,"h"
"VNM",2018,32,1,"h"
"VNM",2018,33,4,"h"
"VNM",2018,35,9,"h"
"VNM",2018,36,14,"h"
"VNM",2018,37,1,"h"
"VNM",2018,38,1,"h"
"VNM",2018,39,36,"h"
"VNM",2018,41,13,"h"
"VNM",2018,42,4,"h"
"VNM",2018,43,4,"h"
"VNM",2018,44,25,"h"
"VNM",2018,45,13,"h"
"VNM",2018,46,13,"h"
"VNM",2018,47,16,"h"
"VNM",2018,48,20,"h"
"VNM",2018,49,3,"h"
"VNM",2018,50,3,"h"
"VNM",2018,51,15,"h"
"VNM",2019,1,7,"h"
"VNM",2019,2,14,"h"
"VNM",2019,3,24,"h"
"VNM",2019,4,24,"h"
"VNM",2019,5,29,"h"
"VNM",2019,6,155,"h"
"VNM",2019,7,95,"h"
"VNM",2019,8,82,"h"
"VNM",2019,9,265,"h"
"VNM",2019,10,150,"h"
"VNM",2019,11,156,"h"
"VNM",2019,12,182,"h"
"VNM",2019,13,95,"h"
"VNM",2019,14,35,"h"
"VNM",2019,15,192,"h"
"VNM",2019,16,352,"h"
"VNM",2019,17,120,"h"
"VNM",2019,18,35,"h"
"VNM",2019,19,22,"h"
"VNM",2019,20,74,"h"
"VNM",2019,21,6,"h"
"VNM",2019,22,9,"h"
"VNM",2019,23,17,"h"
"VNM",2019,24,7,"h"
"VNM",2019,25,7,"h"
"VNM",2019,26,1,"h"
"VNM",2019,27,1,"h"
"VNM",2019,28,23,"h"
"VNM",2019,29,2,"h"
"VNM",2019,30,4,"h"
"VNM",2019,31,3,"h"
"VNM",2019,32,6,"h"
"VNM",2019,33,10,"h"
"VNM",2019,34,8,"h"
"VNM",2019,35,6,"h"
"VNM",2019,36,2,"h"
"VNM",2019,37,13,"h"
"VNM",2019,38,12,"h"
"VNM",2019,39,3,"h"
"VNM",2019,40,25,"h"
"VNM",2019,41,14,"h"
"VNM",2019,42,1,"h"
"VNM",2019,43,32,"h"
"VNM",2019,44,3,"h"
"VNM",2019,45,2,"h"
"VNM",2019,46,3,"h"
"VNM",2019,47,23,"h"
"VNM",2019,48,20,"h"
"VNM",2019,49,28,"h"
"VNM",2019,50,44,"h"
"VNM",2019,51,17,"h"
"VNM",2019,52,8,"h"
"VNM",2020,1,5,"h"
"VNM",2020,2,26,"h"
"VNM",2020,3,60,"h"
"VNM",2020,4,51,"h"
"VNM",2020,5,58,"h"
"VNM",2020,6,66,"h"
"VNM",2020,7,43,"h"
"VNM",2020,8,164,"h"
"VNM",2020,9,158,"h"
"VNM",2020,10,48,"h"
"VNM",2020,11,346,"h"
"VNM",2020,12,193,"h"
"VNM",2020,13,127,"h"
"VNM",2020,14,319,"h"
"VNM",2020,15,59,"h"
"VNM",2020,16,24,"h"
"VNM",2020,17,156,"h"
"VNM",2020,18,124,"h"
"VNM",2020,19,125,"h"
"VNM",2020,20,60,"h"
"VNM",2020,21,10,"h"
"VNM",2020,22,8,"h"
"VNM",2020,23,18,"h"
"VNM",2020,24,4,"h"
"VNM",2020,25,6,"h"
"VNM",2020,26,3,"h"
"VNM",2020,27,15,"h"
"VNM",2020,28,11,"h"
"VNM",2020,29,9,"h"
"VNM",2020,30,9,"h"
"VNM",2020,31,6,"h"
"VNM",2020,32,2,"h"
"VNM",2020,33,2,"h"
"VNM",2020,34,17,"h"
"VNM",2020,35,25,"h"
"VNM",2020,36,4,"h"
"VNM",2020,37,15,"h"
"VNM",2020,38,1,"h"
"VNM",2020,39,15,"h"
"VNM",2020,41,6,"h"
"VNM",2020,43,2,"h"
"VNM",2020,45,1,"h"
"VNM",2020,46,4,"h"
"VNM",2020,47,24,"h"
"VNM",2020,48,2,"h"
"VNM",2020,49,8,"h"
"VNM",2020,50,20,"h"
"VNM",2020,52,2,"h"
"VNM",2020,53,15,"h"
"VNM",2021,1,9,"h"
"VNM",2021,2,94,"h"
"VNM",2021,3,43,"h"
"VNM",2021,4,18,"h"
"VNM",2021,5,31,"h"
"VNM",2021,6,14,"h"
"VNM",2021,7,70,"h"
"VNM",2021,8,65,"h"
"VNM",2021,9,87,"h"
"VNM",2021,10,131,"h"
"VNM",2021,11,131,"h"
"VNM",2021,12,52,"h"
"VNM",2021,13,225,"h"
"VNM",2021,14,50,"h"
"VNM",2021,15,99,"h"
"VNM",2021,16,104,"h"
"VNM",2021,17,24,"h"
"VNM",2021,18,11,"h"
"VNM",2021,19,66,"h"
"VNM",2021,20,31,"h"
"VNM",2021,21,7,"h"
"VNM",2021,22,14,"h"
"VNM",2021,23,1,"h"
"VNM",2021,24,38,"h"
"VNM",2021,25,12,"h"
"VNM",2021,26,25,"h"
"VNM",2021,27,2,"h"
"VNM",2021,28,8,"h"
"VNM",2021,29,1,"h"
"VNM",2021,30,4,"h"
"VNM",2021,31,4,"h"
"VNM",2021,32,7,"h"
"VNM",2021,33,39,"h"
"VNM",2021,34,8,"h"
"VNM",2021,35,2,"h"
"VNM",2021,36,1,"h"
"VNM",2021,37,28,"h"
"VNM",2021,38,3,"h"
"VNM",2021,39,15,"h"
"VNM",2021,42,1,"h"
"VNM",2021,45,1,"h"
"VNM",2021,46,13,"h"
"VNM",2021,48,45,"h"
"VNM",2021,49,14,"h"
"VNM",2021,50,21,"h"
"VNM",2021,51,12,"h"
"VNM",2021,53,14,"h"
"VNM",2022,1,16,"h"
"VNM",2022,2,26,"h"
"VNM",2022,3,23,"h"
"VNM",2022,4,53,"h"
"VNM",2022,5,12,"h"
"VNM",2022,6,31,"h"
"VNM",2022,7,16,"h"
"VNM",2022,8,22,"h"
"VNM",2022,9,98,"h"
"VNM",2022,10,69,"h"
"VNM",2022,11,37,"h"
"VNM",2022,12,67,"h"
"VNM",2022,13,7,"h"
"VNM",2022,14,108,"h"
"VNM",2022,15,80,"h"
"VNM",2022,16,42,"h"
"VNM",2022,17,142,"h"
"VNM",2022,18,23,"h"
"VNM",2022,19,3,"h"
"VNM",2022,20,1,"h"
"VNM",2022,21,6,"h"
"VNM",2022,22,9,"h"
"VNM",2022,23,6,"h"
"VNM",2022,24,3,"h"
"VNM",2022,25,4,"h"
"VNM",2022,26,2,"h"
"VNM",2022,27,1,"h"
"VNM",2022,29,8,"h"
"VNM",2022,34,9,"h"
"VNM",2022,35,19,"h"
"VNM",2022,37,20,"h"
"VNM",2022,38,3,"h"
"VNM",2022,39,1,"h"
"VNM",2022,40,3,"h"
"VNM",2022,41,14,"h"
"VNM",2022,43,1,"h"
"VNM",2022,44,9,"h"
"VNM",2022,45,13,"h"
"VNM",2022,46,2,"h"
"VNM",2022,47,4,"h"
"VNM",2022,48,7,"h"
"VNM",2022,50,24,"h"
"VNM",2022,51,53,"h"
"VNM",2022,52,2,"h"
"VNM",2023,1,1,"h"
"VNM",2023,2,114,"h"
"VNM",2023,3,6,"h"
"VNM",2023,4,33,"h"
"VNM",2023,5,164,"h"
"VNM",2023,6,54,"h"
"VNM",2023,7,45,"h"
"VNM",2023,8,70,"h"
"VNM",2023,9,37,"h"
"VNM",2023,10,107,"h"
"VNM",2023,11,84,"h"
"VNM",2023,12,205,"h"
"VNM",2023,13,35,"h"
"VNM",2023,14,178,"h"
"VNM",2023,15,86,"h"
"VNM",2023,16,210,"h"
"VNM",2023,17,33,"h"
"VNM",2023,18,129,"h"
"VNM",2023,19,4,"h"
"VNM",2023,20,24,"h"
"VNM",2023,21,26,"h"
"VNM",2023,22,28,"h"
"VNM",2023,24,1,"h"
"VNM",2023,25,1,"h"
"VNM",2023,26,5,"h"
"VNM",2023,27,7,"h"
"VNM",2023,28,3,"h"
"VNM",2023,29,1,"h"
"VNM",2023,30,3,"h"
"VNM",2023,31,11,"h"
"VNM",2023,32,28,"h"
"VNM",2023,33,7,"h"
"VNM",2023,34,10,"h"
"VNM",2023,35,9,"h"
"VNM",2023,36,15,"h"
"VNM",2023,37,1,"h"
"VNM",2023,38,19,"h"
"VNM",2023,40,4,"h"
"VNM",2023,42,5,"h"
"VNM",2023,43,1,"h"
